Train Loss,Train IoU,Validation Loss,Validation IoU
0.31084293,0.22263692,0.32585767,0.31244066
0.2917394,0.35853815,0.3215357,0.40688762
0.2846399,0.376339,0.32060555,0.37117487
0.28028205,0.3886472,0.32028997,0.39258957
0.27779144,0.38279003,0.31914556,0.3990209
0.27462623,0.4011011,0.31858268,0.408491
0.27202576,0.40661097,0.31880203,0.3844428
0.2714661,0.39904526,0.31563282,0.4487905
0.2740677,0.38773465,0.31554398,0.42859066
0.26817942,0.3911966,0.31694293,0.42125073
0.27109364,0.39029968,0.31484047,0.44060522
0.26938474,0.3901887,0.31585383,0.4473806
0.26740938,0.38589102,0.315435,0.43112674
0.26632228,0.39001656,0.31531015,0.39919
0.26414463,0.372361,0.3159363,0.38613692
0.2634349,0.38188118,0.31253907,0.43347162
0.26121837,0.38427326,0.31075498,0.4427208
0.25311747,0.40055093,0.3119691,0.4506459
0.25784752,0.3936037,0.3122249,0.43791705
0.25683743,0.40390006,0.3103604,0.44731298
0.25890735,0.39641565,0.3111943,0.44716915
0.25860718,0.39405447,0.31334126,0.42800134
0.25441745,0.41200575,0.3107291,0.478412
0.2544471,0.41796154,0.3120861,0.42395034
0.24959385,0.4175943,0.3088728,0.46970293
0.25265405,0.41348258,0.30888507,0.47551566
0.2507964,0.4252839,0.30889007,0.47016728
0.24950016,0.42370534,0.30711526,0.49317423
0.2469501,0.42959523,0.30706933,0.4890799
0.24656959,0.4316783,0.30709678,0.4905396
0.2468173,0.4244052,0.30772746,0.47676432
0.24815072,0.42391506,0.3073163,0.4860764
0.2441383,0.4328937,0.30659452,0.49989548
0.24540973,0.43788368,0.30718467,0.50293756
0.24667983,0.431875,0.30873787,0.46137545
0.24556963,0.43254113,0.3091222,0.461881
0.24557199,0.44148725,0.30683383,0.49584803
0.24415556,0.4444263,0.30726025,0.48637277
0.23931834,0.45430028,0.30767408,0.4875567
0.24237612,0.45526558,0.30699468,0.5101235
0.23964213,0.4513123,0.30624047,0.5010821
0.24058877,0.4490439,0.3058174,0.5003815
0.23776825,0.4659023,0.30535343,0.51777035
0.24103509,0.45778143,0.30503422,0.5219549
0.23963869,0.45803928,0.3065274,0.5045117
0.24221772,0.4688221,0.30765077,0.5053235
0.24081571,0.4540912,0.3049444,0.4985647
0.24219099,0.45756114,0.30529734,0.5031354
0.23455599,0.46581504,0.3065001,0.4937937
0.2413328,0.45476082,0.30608973,0.51340675
