Train Loss,Train IoU,Validation Loss,Validation IoU
0.30620855,0.24760291,0.32394618,0.4080528
0.28696817,0.3606882,0.32274207,0.38015968
0.28314304,0.35111725,0.3217158,0.36257017
0.27740827,0.36022863,0.3207213,0.3937222
0.27886865,0.32754803,0.32021198,0.3449311
0.27920058,0.34678692,0.3186982,0.41499916
0.27433437,0.33777314,0.31892636,0.41383848
0.27482018,0.33643216,0.32067677,0.32742006
0.26967686,0.35080084,0.3149998,0.43551403
0.26685065,0.34734127,0.32155386,0.34783435
0.27179658,0.3340846,0.31759727,0.36916697
0.26529917,0.34050617,0.32106376,0.29457927
0.26962084,0.34023684,0.31673405,0.3834878
0.26437962,0.3586548,0.31512666,0.40660658
0.26078168,0.36447763,0.3144566,0.42966178
0.25548407,0.38451326,0.3129888,0.4396104
0.25687885,0.37478814,0.31306896,0.44871444
0.25208434,0.38887352,0.312782,0.46667776
0.25396335,0.3878064,0.31342772,0.42689157
0.2558412,0.38484198,0.31278798,0.45499033
0.2537311,0.38140887,0.31245452,0.44879335
0.2534018,0.37968284,0.31101957,0.45890936
0.25225598,0.39302057,0.31198186,0.4125669
0.24695808,0.39832717,0.31049323,0.46304944
0.24863653,0.39478186,0.31174824,0.43395078
0.25258538,0.39571315,0.31044346,0.47499338
0.2514577,0.39509013,0.31029564,0.4713232
0.24899176,0.40935943,0.31123784,0.4567361
0.24771515,0.3970174,0.310808,0.43170038
0.25202462,0.40604106,0.310573,0.46023965
0.25083283,0.40502504,0.31041977,0.4919083
0.2439492,0.41885364,0.30954653,0.47093168
0.24569152,0.42035237,0.30957213,0.49204975
0.24357195,0.42043418,0.30987158,0.46096757
0.24172418,0.4159211,0.3081076,0.50806266
0.24210744,0.42498466,0.308761,0.51284415
0.24140169,0.42276272,0.3083218,0.48880398
0.24136737,0.42816606,0.3077947,0.4900563
0.24067733,0.4256164,0.30867353,0.47696176
0.23426008,0.44097924,0.30839708,0.4852215
0.23597538,0.44341612,0.3078666,0.50778717
0.24014263,0.4525747,0.30847213,0.47295198
0.23770176,0.44494686,0.3077219,0.50479496
0.23859067,0.45337427,0.30737102,0.5147637
0.23073857,0.467046,0.30717823,0.5173386
0.23534635,0.45912805,0.30698985,0.5233637
0.23509103,0.45742187,0.30687737,0.531279
0.23461045,0.46457702,0.30661163,0.5183831
0.23198369,0.46157196,0.3073041,0.51923174
0.23213157,0.44562033,0.30665302,0.5124946
0.23542187,0.45031694,0.30689353,0.51654816
0.23228802,0.4676139,0.30691248,0.5232539
0.2321716,0.45142278,0.3062349,0.5358496
0.22867051,0.46677518,0.30592954,0.5305271
0.23015644,0.47298786,0.30609792,0.53075373
0.22878386,0.46829292,0.30641747,0.50569546
0.23025066,0.46568957,0.30577788,0.52881294
0.23302244,0.46665832,0.30625674,0.51977843
0.23363486,0.45436656,0.30587015,0.536098
0.2318701,0.46614635,0.30608362,0.52277315
0.23139939,0.47406244,0.30546755,0.5456821
0.23042852,0.46741748,0.30526713,0.53458637
0.22838318,0.47051334,0.30561033,0.5376471
0.23187011,0.4673898,0.3053655,0.5371746
0.22651908,0.47508717,0.30543882,0.53780824
0.2273167,0.47582546,0.30541342,0.54099894
0.22842802,0.47600755,0.30534995,0.5389516
0.2276499,0.4717497,0.3055121,0.54856026
0.22996986,0.46018696,0.3052772,0.539557
0.23023246,0.47496766,0.3057266,0.53251565
0.22990817,0.47870365,0.30530548,0.5464759
0.22927897,0.48126578,0.30553037,0.53237575
0.22296223,0.48080894,0.304967,0.54188085
0.2286987,0.48089027,0.30584314,0.54122436
0.22693476,0.47364646,0.30610764,0.5335441
0.2268839,0.48248002,0.3055224,0.53861743
0.22699253,0.47887588,0.3055176,0.5471264
0.23346001,0.47578865,0.305597,0.54032546
0.22382319,0.4859066,0.30515778,0.54484344
0.22882704,0.48399723,0.30530253,0.53675944
0.22846602,0.48222318,0.30569112,0.54110616
0.22262098,0.48303348,0.30524725,0.5373461
0.22769664,0.48947525,0.3055607,0.54532504
0.22493371,0.48834744,0.30546305,0.53619856
0.23252735,0.4755303,0.3052466,0.54925907
0.22941798,0.48320615,0.3051326,0.54758406
0.2277141,0.4807221,0.30565143,0.54334265
0.2297238,0.47576305,0.3053871,0.542682
0.22495462,0.4812197,0.30556482,0.5434239
0.23168689,0.47655267,0.30531478,0.545483
0.22889996,0.47996,0.30529785,0.5473075
0.23123232,0.4769775,0.3049976,0.54115665
0.23059778,0.47889772,0.30549684,0.5448243
0.23112272,0.47993994,0.3053605,0.54228824
0.23138209,0.47060022,0.30533767,0.5492883
0.22842857,0.47982594,0.3055264,0.54185534
0.22466487,0.4904584,0.30537912,0.53784275
0.22907636,0.48143062,0.30587068,0.52703834
0.22994712,0.47984555,0.30537543,0.53778356
0.22556765,0.48928955,0.3054654,0.53617036
