Train Loss,Train IoU,Validation Loss,Validation IoU
0.31494597,0.18632703,0.32568187,0.3466655
0.2971148,0.3750851,0.32160416,0.43073618
0.28860363,0.38338983,0.3204832,0.42565718
0.28597304,0.36551553,0.32189527,0.4128779
0.27964047,0.38138226,0.31612116,0.41313437
0.2694405,0.37672576,0.31606922,0.4268618
0.26985666,0.36544147,0.31790942,0.39368942
0.2668438,0.3707303,0.31457582,0.43974286
0.26270795,0.37634712,0.31620675,0.43829024
0.26413387,0.3689338,0.31618664,0.41308433
0.26251903,0.36746538,0.31417426,0.46528772
0.26175892,0.38146305,0.31382588,0.45179862
0.25538474,0.38338435,0.31386697,0.43719292
0.25684288,0.38146827,0.3134668,0.4434377
0.2582384,0.37723333,0.31526893,0.43325886
0.2578235,0.3832024,0.3138374,0.43013817
0.2529625,0.38926554,0.31795907,0.38555956
0.2542171,0.38141152,0.31284025,0.44715604
0.2578935,0.38563228,0.3143637,0.45950124
0.2533931,0.40023208,0.3128503,0.44345787
0.25306195,0.39035743,0.31541827,0.4105592
0.25740007,0.37564307,0.31499174,0.45046872
0.24988179,0.4072051,0.31172404,0.46958128
0.24532801,0.41596583,0.3114545,0.4770124
0.24349724,0.42359823,0.30962524,0.4822553
0.24251936,0.41496104,0.31034842,0.46203434
0.23678705,0.43147328,0.3096566,0.487364
0.23879547,0.42845902,0.30925798,0.47819537
0.24156262,0.4335665,0.30967844,0.48966435
0.2426953,0.4393246,0.31066534,0.4961825
0.2406919,0.43162647,0.3106549,0.48961264
0.24489766,0.42590824,0.30926767,0.49598598
0.24151419,0.433658,0.30835015,0.5117183
0.23574968,0.45500216,0.30828696,0.5047275
0.23850465,0.4462755,0.30754995,0.51587355
0.24193871,0.450402,0.3077822,0.5115711
0.23040992,0.46093452,0.30922014,0.4884934
0.23304637,0.46424744,0.30806786,0.51115847
0.23050043,0.46387216,0.30710146,0.523854
0.234365,0.46082747,0.30700278,0.5218656
0.23594446,0.44999325,0.3067875,0.52051044
0.23289186,0.46499753,0.3074964,0.5206387
0.23533511,0.45802292,0.30763423,0.5109678
0.23211467,0.4569613,0.3072223,0.5181429
0.22900002,0.46607536,0.30750608,0.52741766
0.22717659,0.47739872,0.30668724,0.5314446
0.22440112,0.47917202,0.30642575,0.5414758
0.22788796,0.47377968,0.30630398,0.542654
0.22379738,0.47947758,0.3070715,0.52011824
0.23186369,0.47560236,0.3072793,0.5185801
0.23014177,0.47382298,0.3065142,0.5252853
0.22546248,0.48956066,0.30595258,0.539722
0.22825038,0.47991666,0.30675468,0.526668
0.22902372,0.47561175,0.30651593,0.5297859
0.22313716,0.48908538,0.3075771,0.5089425
0.22870192,0.48762634,0.30649942,0.5394229
0.22725675,0.48588598,0.30615225,0.53197676
0.2295668,0.48559028,0.30631107,0.5316534
0.2239323,0.48704576,0.3066116,0.51741457
0.2228138,0.49703535,0.30620068,0.5265105
0.22039746,0.4936495,0.30607998,0.53528315
0.22661045,0.47642484,0.30609104,0.5280709
0.225334,0.49175146,0.3057142,0.54120255
0.22414595,0.488812,0.30682343,0.52181894
0.22633821,0.485876,0.3056865,0.52328354
0.22367431,0.49862206,0.30575183,0.5381701
0.22389494,0.4908845,0.30572614,0.5390663
0.22555752,0.48611337,0.3053464,0.5391429
0.22132057,0.4970791,0.3055584,0.5467177
0.22235513,0.492955,0.30585808,0.5402044
0.22472492,0.48761538,0.3058753,0.53775316
0.22283706,0.48931557,0.30562285,0.54570824
0.22581612,0.49444053,0.30617014,0.53852206
0.22041501,0.50196064,0.30566365,0.537224
0.22312087,0.50428355,0.30536744,0.5396796
0.22256523,0.48959637,0.30584025,0.5424373
0.23041034,0.48705032,0.30606177,0.5378591
0.22336362,0.49940076,0.30580097,0.54037315
0.22614157,0.49944752,0.3052832,0.540858
0.2238635,0.4953801,0.30566046,0.54806423
0.2163543,0.49082413,0.30532375,0.5360477
0.22378124,0.5000874,0.30562672,0.54544115
0.22240338,0.49448234,0.30563703,0.5494231
0.21989249,0.5004775,0.30563113,0.54213965
0.22538106,0.50509584,0.30533642,0.54302555
0.22525142,0.49099055,0.30567577,0.5483466
0.22435006,0.50600654,0.305875,0.53184634
0.22205393,0.49707538,0.3058068,0.54098064
0.21951126,0.49367023,0.30554792,0.54057246
0.22890493,0.48365867,0.30566373,0.53695744
0.2221775,0.49259952,0.30558184,0.5469251
0.21903442,0.4940487,0.30569786,0.5469663
0.22304712,0.5075849,0.30596635,0.5398523
0.22102925,0.49817315,0.30590227,0.53353965
0.22303207,0.492211,0.30517563,0.54608035
0.22665823,0.49437907,0.30563182,0.53843635
0.22455521,0.48973256,0.30556616,0.5439061
0.22142495,0.49248034,0.30563188,0.5432406
0.22411022,0.5015969,0.3057226,0.53719836
0.2188494,0.49886805,0.30629972,0.5452873
