Train Loss,Train IoU,Validation Loss,Validation IoU
0.2926226,0.28831258,0.32191497,0.35639933
0.27590132,0.36336255,0.3194916,0.41366377
0.26841226,0.38959125,0.31998444,0.4295995
0.2675329,0.39906707,0.31679082,0.4334289
0.2602842,0.39041567,0.31553033,0.42020604
0.25990283,0.39651126,0.31538698,0.45213786
0.25369218,0.4017437,0.3134147,0.45183173
0.2591637,0.4126392,0.31612664,0.43377084
0.25390664,0.41442612,0.3151303,0.47430408
0.25202405,0.40522364,0.31601655,0.4059075
