Train Loss,Train IoU,Validation Loss,Validation IoU
0.20394947,0.01239039,0.20859742,0.035400257
0.20079997,0.06411639,0.20773883,0.08957866
0.19785778,0.10349686,0.20901808,0.048669253
0.19623831,0.11554299,0.20789579,0.12836573
0.19630171,0.15565258,0.2070977,0.17161305
0.19286431,0.19325952,0.20742136,0.24302125
0.1935659,0.21785666,0.20684065,0.3207988
0.1933585,0.2542008,0.20672894,0.30990607
0.18973753,0.27482724,0.20603742,0.37228668
0.1903134,0.29106206,0.20582533,0.3270777
0.19291432,0.2757115,0.20633861,0.35870662
0.18895236,0.2765932,0.2062598,0.315932
0.18955234,0.25340247,0.20519798,0.3363093
0.19049725,0.26581046,0.20516355,0.35154492
0.18838103,0.24704303,0.20617619,0.29894733
0.18847589,0.25848722,0.20614403,0.3667142
0.18519655,0.25927168,0.20566022,0.40875983
0.18364106,0.26332965,0.20555435,0.29757625
0.18385282,0.2838669,0.2047523,0.37037688
0.18138608,0.28527054,0.2045283,0.35080782
0.18200384,0.30306065,0.20500965,0.3571646
0.18066208,0.30497292,0.20488186,0.35437718
0.17818019,0.30832607,0.20508052,0.36229214
0.18026438,0.29197717,0.2041748,0.34620142
0.1778239,0.3030477,0.20548595,0.3627948
0.183816,0.30988905,0.20519075,0.40425035
0.17895062,0.3199001,0.20411988,0.43070993
0.18174122,0.3112024,0.20433804,0.39589804
0.1813551,0.31346387,0.2037011,0.39630184
0.17970732,0.3206035,0.20354337,0.3859546
0.18127206,0.31707877,0.20387888,0.39792472
0.1785705,0.3144611,0.20420593,0.3454074
0.1778698,0.3273626,0.20407124,0.41980705
0.17698257,0.3305788,0.20364173,0.38957036
0.17400466,0.33314136,0.20337404,0.39035594
0.17663799,0.3381666,0.20341755,0.39102685
0.17279108,0.34742662,0.20341048,0.41267017
0.17444617,0.33954367,0.20405109,0.38006493
0.1766367,0.3341189,0.20355155,0.41286814
0.17601325,0.33691204,0.2026184,0.4122339
0.1717965,0.345789,0.20270287,0.42419448
0.17526273,0.34549397,0.20282072,0.41973045
0.16965233,0.3483757,0.20292033,0.4136354
0.17622374,0.35872197,0.20293172,0.4252449
0.17219098,0.35681373,0.20320581,0.43204433
0.17134799,0.35971296,0.20297852,0.41062027
0.16755314,0.35677606,0.20299646,0.41515422
0.1672745,0.35915244,0.2030011,0.40638885
0.16985975,0.359306,0.20298493,0.42546448
0.16851,0.36094907,0.20297264,0.41361967
